ID,C_SWIFT_C,CLASS_ID
140219997236,BLOPIT2263V,CL_BANK_F
140219997286,BLOPIT2263W,CL_BANK_F
140219997336,BLOPIT2263X,CL_BANK_F
140219997386,BLOPIT22640,CL_BANK_F
140219997436,BLOPIT22641,CL_BANK_F
140219997486,BLOPIT22642,CL_BANK_F
140219997536,BLOPIT22644,CL_BANK_F
140219997586,BLOPIT22645,CL_BANK_F
140219997636,BLOPIT22647,CL_BANK_F
140219997686,BLOPIT22648,CL_BANK_F
140219997736,BLOPIT2264A,CL_BANK_F
140219997786,BLOPIT2264Y,CL_BANK_F
140219997836,BLOPIT2264Z,CL_BANK_F
140219997886,BLOPIT22651,CL_BANK_F
140219997936,BLOPIT22653,CL_BANK_F
140219997986,BLOPIT22655,CL_BANK_F
140219998036,BLOPIT22656,CL_BANK_F
140219998086,BLOPIT22657,CL_BANK_F
140219998136,BLOPIT22659,CL_BANK_F
140219998186,BLOPIT2265B,CL_BANK_F
140219998236,BLOPIT2265C,CL_BANK_F
140219998286,BLOPIT2265D,CL_BANK_F
140219998336,BLOPIT2265E,CL_BANK_F
140219998386,BLOPIT22660,CL_BANK_F
140219998436,BLOPIT22661,CL_BANK_F
140219998486,BLOPIT22664,CL_BANK_F
140219998536,BLOPIT22666,CL_BANK_F
140219998586,BLOPIT22667,CL_BANK_F
140219998636,BLOPIT22669,CL_BANK_F
140219998686,BLOPIT2266F,CL_BANK_F
140219998736,BLOPIT2266G,CL_BANK_F
140219998786,BLOPIT2266H,CL_BANK_F
140219998836,BLOPIT2266I,CL_BANK_F
140219998886,BLOPIT22673,CL_BANK_F
140219998936,BLOPIT22676,CL_BANK_F
140219998986,BLOPIT2267J,CL_BANK_F
140219999036,BLOPIT2267K,CL_BANK_F
140219999086,BLOPIT2267L,CL_BANK_F
140219999136,BLOPIT2267M,CL_BANK_F
140219999186,BLOPIT2267N,CL_BANK_F
140219999236,BLOPIT2267O,CL_BANK_F
140219999286,BLOPIT2267P,CL_BANK_F
140219999336,BLOPIT2267Q,CL_BANK_F
140219999386,BLOPIT2268A,CL_BANK_F
140219999436,BLOPIT2268R,CL_BANK_F
140219999486,BLOPIT2268S,CL_BANK_F
140219999536,BLOPIT2268T,CL_BANK_F
140219999586,BLOPIT2268U,CL_BANK_F
140219999636,BLOPIT2268V,CL_BANK_F
140219999686,BLOPIT2268W,CL_BANK_F
140219999736,BLOPIT2268X,CL_BANK_F
140219999786,BLOPIT2268Y,CL_BANK_F
140219974636,BLOPIT22013,CL_BANK_F
140219974686,BLOPIT22014,CL_BANK_F
140219974736,BLOPIT22015,CL_BANK_F
140219974786,BLOPIT22016,CL_BANK_F
140219974836,BLOPIT22017,CL_BANK_F
140219974886,BLOPIT22018,CL_BANK_F
140219974936,BLOPIT22019,CL_BANK_F
140219974986,BLOPIT22020,CL_BANK_F
140219975036,BLOPIT22021,CL_BANK_F
140219975086,BLOPIT22022,CL_BANK_F
140219975136,BLOPIT22023,CL_BANK_F
140219975186,BLOPIT22024,CL_BANK_F
140219975236,BLOPIT22025,CL_BANK_F
140219975286,BLOPIT22026,CL_BANK_F
140219975336,BLOPIT22027,CL_BANK_F
140219975386,BLOPIT22028,CL_BANK_F
140219975436,BLOPIT22029,CL_BANK_F
140219975486,BLOPIT22030,CL_BANK_F
140219975536,BLOPIT22031,CL_BANK_F
140219975586,BLOPIT22032,CL_BANK_F
140219975636,BLOPIT22033,CL_BANK_F
140219975686,BLOPIT22034,CL_BANK_F
140219975736,BLOPIT22035,CL_BANK_F
140219975786,BLOPIT22036,CL_BANK_F
140219975836,BLOPIT22037,CL_BANK_F
140219975886,BLOPIT22038,CL_BANK_F
140219975936,BLOPIT22039,CL_BANK_F
140219975986,BLOPIT22040,CL_BANK_F
140219976036,BLOPIT22041,CL_BANK_F
140219976086,BLOPIT22042,CL_BANK_F
140219976136,BLOPIT22043,CL_BANK_F
140219976186,BLOPIT22044,CL_BANK_F
140219976236,BLOPIT22045,CL_BANK_F
140219976286,BLOPIT22046,CL_BANK_F
140219976336,BLOPIT22047,CL_BANK_F
140219976386,BLOPIT22048,CL_BANK_F
140219976436,BLOPIT22049,CL_BANK_F
140219976486,BLOPIT22050,CL_BANK_F
140219976536,BLOPIT22051,CL_BANK_F
140219976586,BLOPIT22052,CL_BANK_F
140219976636,BLOPIT22053,CL_BANK_F
140219976686,BLOPIT22054,CL_BANK_F
140219976736,BLOPIT22055,CL_BANK_F
140219976786,BLOPIT22056,CL_BANK_F
140219976836,BLOPIT22057,CL_BANK_F
140219976886,BLOPIT22058,CL_BANK_F
140219976936,BLOPIT22059,CL_BANK_F
140219976986,BLOPIT22060,CL_BANK_F
140219977036,BLOPIT22061,CL_BANK_F
140219977086,BLOPIT22062,CL_BANK_F
140219977136,BLOPIT22063,CL_BANK_F
140219977186,BLOPIT22064,CL_BANK_F
140219977236,BLOPIT22065,CL_BANK_F
140219977286,BLOPIT22066,CL_BANK_F
140219977336,BLOPIT22067,CL_BANK_F
140219977386,BLOPIT22068,CL_BANK_F
140219977436,BLOPIT22069,CL_BANK_F
140219977486,BLOPIT22070,CL_BANK_F
140219977536,BLOPIT22071,CL_BANK_F
140219977586,BLOPIT22072,CL_BANK_F
140219977636,BLOPIT22073,CL_BANK_F
140219977686,BLOPIT22074,CL_BANK_F
140219977736,BLOPIT22075,CL_BANK_F
140219977786,BLOPIT22076,CL_BANK_F
140219977836,BLOPIT22077,CL_BANK_F
140219977886,BLOPIT22078,CL_BANK_F
140219977936,BLOPIT22079,CL_BANK_F
140219977986,BLOPIT22080,CL_BANK_F
140219978036,BLOPIT22081,CL_BANK_F
140219978086,BLOPIT22082,CL_BANK_F
140219978136,BLOPIT22083,CL_BANK_F
140219978186,BLOPIT22084,CL_BANK_F
140219978236,BLOPIT22085,CL_BANK_F
140219978286,BLOPIT22086,CL_BANK_F
140219978336,BLOPIT22087,CL_BANK_F
140219978386,BLOPIT22088,CL_BANK_F
140219978436,BLOPIT22089,CL_BANK_F
140219978486,BLOPIT22090,CL_BANK_F
140219978536,BLOPIT22091,CL_BANK_F
140219978586,BLOPIT22092,CL_BANK_F
140219978636,BLOPIT22093,CL_BANK_F
140219978686,BLOPIT22094,CL_BANK_F
140219978736,BLOPIT22095,CL_BANK_F
140219978786,BLOPIT22096,CL_BANK_F
140219978836,BLOPIT22097,CL_BANK_F
140219978886,BLOPIT22168,CL_BANK_F
140219978936,BLOPIT22169,CL_BANK_F
140219978986,BLOPIT22170,CL_BANK_F
140219979036,BLOPIT22171,CL_BANK_F
140219979086,BLOPIT22172,CL_BANK_F
140219979136,BLOPIT22173,CL_BANK_F
140219979186,BLOPIT22174,CL_BANK_F
140219979236,BLOPIT22175,CL_BANK_F
140219979286,BLOPIT22176,CL_BANK_F
140219979336,BLOPIT22177,CL_BANK_F
140219979386,BLOPIT22178,CL_BANK_F
140219979436,BLOPIT22179,CL_BANK_F
140219979486,BLOPIT22180,CL_BANK_F
140219979536,BLOPIT22181,CL_BANK_F
140219979586,BLOPIT22182,CL_BANK_F
140219979636,BLOPIT22183,CL_BANK_F
140219979686,BLOPIT22184,CL_BANK_F
140219979736,BLOPIT22185,CL_BANK_F
140219979786,BLOPIT22186,CL_BANK_F
140219979836,BLOPIT22187,CL_BANK_F
140219979886,BLOPIT22188,CL_BANK_F
140219979936,BLOPIT22189,CL_BANK_F
140219979986,BLOPIT22190,CL_BANK_F
140219980036,BLOPIT22191,CL_BANK_F
140219980086,BLOPIT22192,CL_BANK_F
140219980136,BLOPIT22193,CL_BANK_F
140219980186,BLOPIT22194,CL_BANK_F
140219980236,BLOPIT22195,CL_BANK_F
140219980286,BLOPIT22196,CL_BANK_F
140219980336,BLOPIT22197,CL_BANK_F
140219980386,BLOPIT22198,CL_BANK_F
140219982986,BLOPIT22250,CL_BANK_F
140219983036,BLOPIT22251,CL_BANK_F
140219983086,BLOPIT22252,CL_BANK_F
140219983136,BLOPIT22253,CL_BANK_F
140219983186,BLOPIT22254,CL_BANK_F
140219983236,BLOPIT22255,CL_BANK_F
140219983286,BLOPIT22256,CL_BANK_F
140219983336,BLOPIT22257,CL_BANK_F
140219983386,BLOPIT22258,CL_BANK_F
140219983436,BLOPIT22259,CL_BANK_F
140219983486,BLOPIT22260,CL_BANK_F
140219983536,BLOPIT22261,CL_BANK_F
140219983586,BLOPIT22262,CL_BANK_F
140219983636,BLOPIT22263,CL_BANK_F
140219983686,BLOPIT22264,CL_BANK_F
140219983736,BLOPIT22265,CL_BANK_F
140219983786,BLOPIT22266,CL_BANK_F
140219983836,BLOPIT22267,CL_BANK_F
140219983886,BLOPIT22268,CL_BANK_F
140219983936,BLOPIT22269,CL_BANK_F
140219983986,BLOPIT22270,CL_BANK_F
140219984036,BLOPIT22271,CL_BANK_F
140219984086,BLOPIT22272,CL_BANK_F
140219984136,BLOPIT22273,CL_BANK_F
140219984186,BLOPIT22274,CL_BANK_F
140219984236,BLOPIT22275,CL_BANK_F
140219984286,BLOPIT22276,CL_BANK_F
140219984336,BLOPIT22277,CL_BANK_F
140219984386,BLOPIT22278,CL_BANK_F
140219984436,BLOPIT22279,CL_BANK_F
140219984486,BLOPIT22280,CL_BANK_F
140219984536,BLOPIT22281,CL_BANK_F
140219984586,BLOPIT22282,CL_BANK_F
140219984636,BLOPIT22283,CL_BANK_F
140219984686,BLOPIT22284,CL_BANK_F
140219984736,BLOPIT22285,CL_BANK_F
140219984786,BLOPIT22286,CL_BANK_F
140219984836,BLOPIT22287,CL_BANK_F
140219984886,BLOPIT22288,CL_BANK_F
140219984936,BLOPIT22289,CL_BANK_F
140219984986,BLOPIT22290,CL_BANK_F
140219985036,BLOPIT22291,CL_BANK_F
140219985086,BLOPIT22292,CL_BANK_F
140219985136,BLOPIT22293,CL_BANK_F
140219985186,BLOPIT22294,CL_BANK_F
140219985236,BLOPIT22295,CL_BANK_F
140219985286,BLOPIT22296,CL_BANK_F
140219985336,BLOPIT22297,CL_BANK_F
140219985386,BLOPIT22298,CL_BANK_F
140219985436,BLOPIT22299,CL_BANK_F
140219985486,BLOPIT22300,CL_BANK_F
140219985536,BLOPIT22301,CL_BANK_F
140219985586,BLOPIT22302,CL_BANK_F
140219985636,BLOPIT22303,CL_BANK_F
140219985686,BLOPIT22304,CL_BANK_F
140219985736,BLOPIT22305,CL_BANK_F
140219985786,BLOPIT22306,CL_BANK_F
140219985836,BLOPIT22307,CL_BANK_F
140219985886,BLOPIT22308,CL_BANK_F
140219985936,BLOPIT22309,CL_BANK_F
140219985986,BLOPIT22310,CL_BANK_F
140219986036,BLOPIT22311,CL_BANK_F
140219986086,BLOPIT22312,CL_BANK_F
140219986136,BLOPIT22313,CL_BANK_F
140219986186,BLOPIT22314,CL_BANK_F
140219986236,BLOPIT22315,CL_BANK_F
140219986286,BLOPIT22316,CL_BANK_F
140219986336,BLOPIT22317,CL_BANK_F
140219986386,BLOPIT22318,CL_BANK_F
140219986436,BLOPIT22319,CL_BANK_F
140219986486,BLOPIT22320,CL_BANK_F
140219986536,BLOPIT22321,CL_BANK_F
140219986586,BLOPIT22322,CL_BANK_F
140219986636,BLOPIT22323,CL_BANK_F
140219986686,BLOPIT22324,CL_BANK_F
140219986736,BLOPIT22325,CL_BANK_F
140219986786,BLOPIT22326,CL_BANK_F
140219986836,BLOPIT22327,CL_BANK_F
140219986886,BLOPIT22328,CL_BANK_F
140219986936,BLOPIT22329,CL_BANK_F
140219986986,BLOPIT22330,CL_BANK_F
140219987036,BLOPIT22331,CL_BANK_F
140219987086,BLOPIT22332,CL_BANK_F
140219987136,BLOPIT22333,CL_BANK_F
140219987186,BLOPIT22334,CL_BANK_F
140219987236,BLOPIT22335,CL_BANK_F
140219987286,BLOPIT22336,CL_BANK_F
140219987336,BLOPIT22337,CL_BANK_F
140219987386,BLOPIT22338,CL_BANK_F
140219987436,BLOPIT22339,CL_BANK_F
140219987486,BLOPIT22340,CL_BANK_F
140219987536,BLOPIT22341,CL_BANK_F
140219987586,BLOPIT22342,CL_BANK_F
140219987636,BLOPIT22343,CL_BANK_F
140219987686,BLOPIT22344,CL_BANK_F
140219987736,BLOPIT22345,CL_BANK_F
140219987786,BLOPIT22346,CL_BANK_F
140219987836,BLOPIT22347,CL_BANK_F
140219987886,BLOPIT22348,CL_BANK_F
140219987936,BLOPIT22349,CL_BANK_F
140219987986,BLOPIT22350,CL_BANK_F
140219988036,BLOPIT22351,CL_BANK_F
140219988086,BLOPIT22352,CL_BANK_F
140219988136,BLOPIT22353,CL_BANK_F
140219988186,BLOPIT22354,CL_BANK_F
140219988236,BLOPIT22355,CL_BANK_F
140219988286,BLOPIT22356,CL_BANK_F
140219988336,BLOPIT22357,CL_BANK_F
140219988386,BLOPIT22358,CL_BANK_F
140219988436,BLOPIT22385,CL_BANK_F
140219988486,BLOPIT22386,CL_BANK_F
140219988536,BLOPIT22387,CL_BANK_F
140219988586,BLOPIT22388,CL_BANK_F
140219988636,BLOPIT22389,CL_BANK_F
140219988686,BLOPIT22390,CL_BANK_F
140219988736,BLOPIT22391,CL_BANK_F
140219988786,BLOPIT22392,CL_BANK_F
140219988836,BLOPIT22393,CL_BANK_F
140219988886,BLOPIT22394,CL_BANK_F
140219988936,BLOPIT22395,CL_BANK_F
140219988986,BLOPIT22396,CL_BANK_F
140219989036,BLOPIT22397,CL_BANK_F
140219989086,BLOPIT22398,CL_BANK_F
140219989136,BLOPIT22399,CL_BANK_F
140219989186,BLOPIT22407,CL_BANK_F
140219989236,BLOPIT22408,CL_BANK_F
140219989286,BLOPIT2240A,CL_BANK_F
140219989336,BLOPIT2240B,CL_BANK_F
140219989386,BLOPIT2240C,CL_BANK_F
140219989436,BLOPIT2240D,CL_BANK_F
140219989486,BLOPIT2240E,CL_BANK_F
140219989536,BLOPIT2240F,CL_BANK_F
140219989586,BLOPIT2240G,CL_BANK_F
140219989636,BLOPIT2240H,CL_BANK_F
140219989686,BLOPIT22414,CL_BANK_F
140219989736,BLOPIT22415,CL_BANK_F
140219989786,BLOPIT2241I,CL_BANK_F
140219989836,BLOPIT2241J,CL_BANK_F
140219989886,BLOPIT2241K,CL_BANK_F
140219989936,BLOPIT2241L,CL_BANK_F
140219989986,BLOPIT2242M,CL_BANK_F
140219990036,BLOPIT2242N,CL_BANK_F
140219990086,BLOPIT22433,CL_BANK_F
140219990136,BLOPIT22434,CL_BANK_F
140219990186,BLOPIT22436,CL_BANK_F
140219990236,BLOPIT2243O,CL_BANK_F
140219990286,BLOPIT2243P,CL_BANK_F
140219990336,BLOPIT2243Q,CL_BANK_F
140219990386,BLOPIT2243R,CL_BANK_F
140219990436,BLOPIT2243S,CL_BANK_F
140219990486,BLOPIT2243T,CL_BANK_F
140219990536,BLOPIT2243U,CL_BANK_F
140219990586,BLOPIT22441,CL_BANK_F
140219990636,BLOPIT22447,CL_BANK_F
140219990686,BLOPIT2244A,CL_BANK_F
140219990736,BLOPIT2244B,CL_BANK_F
140219990786,BLOPIT2244C,CL_BANK_F
140219990836,BLOPIT2244V,CL_BANK_F
140219990886,BLOPIT2244W,CL_BANK_F
140219990936,BLOPIT2244X,CL_BANK_F
140219990986,BLOPIT2244Y,CL_BANK_F
140219991036,BLOPIT2244Z,CL_BANK_F
140219991086,BLOPIT22453,CL_BANK_F
140219991136,BLOPIT22454,CL_BANK_F
140219991186,BLOPIT22458,CL_BANK_F
140219991236,BLOPIT22459,CL_BANK_F
140219991286,BLOPIT2245D,CL_BANK_F
140219991336,BLOPIT2245E,CL_BANK_F
140079668252,,CL_BANK_N
140131632417,,CL_BANK_N
140192996252,,CL_BANK_F
140219999836,BLOPIT2268Z,CL_BANK_F
140219999886,BLOPIT22693,CL_BANK_F
140219999936,BLOPIT22694,CL_BANK_F
140219999986,BLOPIT22695,CL_BANK_F
140220000036,BLOPIT22698,CL_BANK_F
140220000086,BLOPIT2269B,CL_BANK_F
140220000136,BLOPIT2269C,CL_BANK_F
140220000186,BLOPIT2269D,CL_BANK_F
140220000236,BLOPIT2269E,CL_BANK_F
140220000286,BLOPIT2269F,CL_BANK_F
140220000336,BLOPIT2269G,CL_BANK_F
140220000386,BLOPIT22700,CL_BANK_F
140220000436,BLOPIT22702,CL_BANK_F
140220000486,BLOPIT22705,CL_BANK_F
140220000536,BLOPIT22708,CL_BANK_F
140220000586,BLOPIT22709,CL_BANK_F
140220000636,BLOPIT2270H,CL_BANK_F
140220000686,BLOPIT2270I,CL_BANK_F
140220000736,BLOPIT2270J,CL_BANK_F
140220000786,BLOPIT2270K,CL_BANK_F
140220000836,BLOPIT2270L,CL_BANK_F
140220000886,BLOPIT22711,CL_BANK_F
140220000936,BLOPIT22713,CL_BANK_F
140220000986,BLOPIT2271M,CL_BANK_F
140220001036,BLOPIT2271N,CL_BANK_F
140220001086,BLOPIT2271O,CL_BANK_F
140220001136,BLOPIT2271P,CL_BANK_F
140220001186,BLOPIT2271Q,CL_BANK_F
140220001236,BLOPIT2271R,CL_BANK_F
140220001286,BLOPIT2271S,CL_BANK_F
140220001336,BLOPIT2271T,CL_BANK_F
140220001386,BLOPIT2272A,CL_BANK_F
140220001436,BLOPIT2272B,CL_BANK_F
140220001486,BLOPIT2272C,CL_BANK_F
140220001536,BLOPIT2272D,CL_BANK_F
140220001586,BLOPIT2272U,CL_BANK_F
140220001636,BLOPIT2272V,CL_BANK_F
140220001686,BLOPIT2272W,CL_BANK_F
140220001736,BLOPIT2272X,CL_BANK_F
140220001786,BLOPIT2272Y,CL_BANK_F
140220001836,BLOPIT2272Z,CL_BANK_F
140220001886,BLOPIT22731,CL_BANK_F
140220001936,BLOPIT22736,CL_BANK_F
140220001986,BLOPIT2273E,CL_BANK_F
140220002036,BLOPIT2273F,CL_BANK_F
140220002086,BLOPIT2273G,CL_BANK_F
140220002136,BLOPIT2273H,CL_BANK_F
140220002186,BLOPIT2273I,CL_BANK_F
140220002236,BLOPIT2273J,CL_BANK_F
140220002286,BLOPIT2273K,CL_BANK_F
140220002336,BLOPIT2273L,CL_BANK_F
140220002386,BLOPIT22740,CL_BANK_F
140220002436,BLOPIT22746,CL_BANK_F
140220002486,BLOPIT22748,CL_BANK_F
140220002536,BLOPIT22749,CL_BANK_F
140220002586,BLOPIT2274M,CL_BANK_F
140220002636,BLOPIT2274N,CL_BANK_F
140220002686,BLOPIT2274O,CL_BANK_F
140220002736,BLOPIT2274P,CL_BANK_F
140220002786,BLOPIT2274Q,CL_BANK_F
140220002836,BLOPIT2274R,CL_BANK_F
140220002886,BLOPIT22750,CL_BANK_F
140220002936,BLOPIT22751,CL_BANK_F
140220002986,BLOPIT22752,CL_BANK_F
140220003036,BLOPIT22754,CL_BANK_F
140220003086,BLOPIT22755,CL_BANK_F
140220003136,BLOPIT22759,CL_BANK_F
140220003186,BLOPIT2275S,CL_BANK_F
140220003236,BLOPIT2275T,CL_BANK_F
140220003286,BLOPIT2275U,CL_BANK_F
140220003336,BLOPIT2275V,CL_BANK_F
140220003386,BLOPIT22760,CL_BANK_F
140220003436,BLOPIT22761,CL_BANK_F
140220003486,BLOPIT22765,CL_BANK_F
140220003536,BLOPIT22766,CL_BANK_F
140220003586,BLOPIT2276A,CL_BANK_F
140220003636,BLOPIT2276B,CL_BANK_F
140220003686,BLOPIT2276W,CL_BANK_F
140220003736,BLOPIT2276X,CL_BANK_F
140220003786,BLOPIT2276Y,CL_BANK_F
140220003836,BLOPIT2276Z,CL_BANK_F
140220003886,BLOPIT22770,CL_BANK_F
140220003936,BLOPIT22771,CL_BANK_F
140220003986,BLOPIT22774,CL_BANK_F
140220004036,BLOPIT22777,CL_BANK_F
140220004086,BLOPIT22778,CL_BANK_F
140220004136,BLOPIT2277C,CL_BANK_F
140220004186,BLOPIT2277D,CL_BANK_F
140220004236,BLOPIT2277E,CL_BANK_F
140220004286,BLOPIT2277F,CL_BANK_F
140220004336,BLOPIT2277G,CL_BANK_F
140220004386,BLOPIT22780,CL_BANK_F
140220004436,BLOPIT22785,CL_BANK_F
140220004486,BLOPIT22786,CL_BANK_F
140220004536,BLOPIT22787,CL_BANK_F
140220004586,BLOPIT22788,CL_BANK_F
140220004636,BLOPIT22789,CL_BANK_F
140220004686,BLOPIT2278H,CL_BANK_F
140220004736,BLOPIT2278I,CL_BANK_F
140220004786,BLOPIT2278J,CL_BANK_F
140220004836,BLOPIT2278K,CL_BANK_F
140220004886,BLOPIT22790,CL_BANK_F
140220004936,BLOPIT22792,CL_BANK_F
140220004986,BLOPIT22793,CL_BANK_F
140220005036,BLOPIT22794,CL_BANK_F
140220005086,BLOPIT22795,CL_BANK_F
140220005136,BLOPIT22796,CL_BANK_F
140220005186,BLOPIT22797,CL_BANK_F
140220005236,BLOPIT22798,CL_BANK_F
140220005286,BLOPIT22799,CL_BANK_F
140220005336,BLOPIT2279L,CL_BANK_F
140220005386,BLOPIT22800,CL_BANK_F
140220005436,BLOPIT22801,CL_BANK_F
140220005486,BLOPIT22802,CL_BANK_F
140220005536,BLOPIT22803,CL_BANK_F
140220005586,BLOPIT22804,CL_BANK_F
140220005636,BLOPIT22805,CL_BANK_F
140220005686,BLOPIT22806,CL_BANK_F
140220005736,BLOPIT22807,CL_BANK_F
140220005786,BLOPIT22808,CL_BANK_F
140220005836,BLOPIT22809,CL_BANK_F
140220005886,BLOPIT22811,CL_BANK_F
140220005936,BLOPIT22813,CL_BANK_F
140220005986,BLOPIT22814,CL_BANK_F
140220006036,BLOPIT22817,CL_BANK_F
140220006086,BLOPIT22819,CL_BANK_F
140220006136,BLOPIT22820,CL_BANK_F
140220006186,BLOPIT22821,CL_BANK_F
140220006236,BLOPIT22850,CL_BANK_F
140220006286,BLOPIT22851,CL_BANK_F
140220006336,BLOPIT22852,CL_BANK_F
140220006386,BLOPIT22853,CL_BANK_F
140220006436,BLOPIT22854,CL_BANK_F
140220006486,BLOPIT22855,CL_BANK_F
140220006536,BLOPIT22856,CL_BANK_F
140220006586,BLOPIT22857,CL_BANK_F
140220006636,BLOPIT22858,CL_BANK_F
140220006686,BLOPIT22859,CL_BANK_F
140220006736,BLOPIT22860,CL_BANK_F
140220006786,BLOPIT22861,CL_BANK_F
140220006836,BLOPIT22862,CL_BANK_F
140220006886,BLOPIT22863,CL_BANK_F
140220006936,BLOPIT22864,CL_BANK_F
140220006986,BLOPIT22865,CL_BANK_F
140220007036,BLOPIT22866,CL_BANK_F
140220007086,BLOPIT22867,CL_BANK_F
140220007136,BLOPIT22868,CL_BANK_F
140220007186,BLOPIT22869,CL_BANK_F
140220007236,BLOPIT22870,CL_BANK_F
140220007286,BLOPIT22871,CL_BANK_F
140220007336,BLOPIT22872,CL_BANK_F
140220007386,BLOPIT22873,CL_BANK_F
140220007436,BLOPIT22874,CL_BANK_F
140220007486,BLOPIT22875,CL_BANK_F
140220007536,BLOPIT22876,CL_BANK_F
140220007586,BLOPIT22877,CL_BANK_F
140220007636,BLOPIT22878,CL_BANK_F
140220007686,BLOPIT22879,CL_BANK_F
140220007736,BLOPIT22880,CL_BANK_F
140220007786,BLOPIT22881,CL_BANK_F
140220007836,BLOPIT22882,CL_BANK_F
140220007886,BLOPIT22883,CL_BANK_F
140220007936,BLOPIT22884,CL_BANK_F
140220007986,BLOPIT22885,CL_BANK_F
140220008036,BLOPIT22886,CL_BANK_F
140220008086,BLOPIT22887,CL_BANK_F
140220008136,BLOPIT22888,CL_BANK_F
140220008186,BLOPIT22889,CL_BANK_F
140220008236,BLOPIT22890,CL_BANK_F
140220008286,BLOPIT22891,CL_BANK_F
140220008336,BLOPIT22892,CL_BANK_F
140220008386,BLOPIT22893,CL_BANK_F
140220008436,BLOPIT22894,CL_BANK_F
140220008486,BLOPIT22895,CL_BANK_F
140220008536,BLOPIT22896,CL_BANK_F
140220008586,BLOPIT22897,CL_BANK_F
140220008636,BLOPIT22898,CL_BANK_F
140220008686,BLOPIT22899,CL_BANK_F
140220008736,BLOPIT22900,CL_BANK_F
140220008786,BLOPIT22901,CL_BANK_F
140220008836,BLOPIT22902,CL_BANK_F
140220008886,BLOPIT22903,CL_BANK_F
140220008936,BLOPIT22904,CL_BANK_F
140220008986,BLOPIT22905,CL_BANK_F
140220009036,BLOPIT22906,CL_BANK_F
140220009086,BLOPIT22907,CL_BANK_F
140220009136,BLOPIT22908,CL_BANK_F
140220009186,BLOPIT22909,CL_BANK_F
140220009236,BLOPIT22910,CL_BANK_F
140220009286,BLOPIT22911,CL_BANK_F
140220009336,BLOPIT22912,CL_BANK_F
140220009386,BLOPIT22913,CL_BANK_F
140220009436,BLOPIT22914,CL_BANK_F
140220009486,BLOPIT22915,CL_BANK_F
140220009536,BLOPIT22916,CL_BANK_F
140220009586,BLOPIT22917,CL_BANK_F
140220009636,BLOPIT22918,CL_BANK_F
140220009686,BLOPIT22919,CL_BANK_F
140220009736,BLOPIT22920,CL_BANK_F
140220009786,BLOPIT22921,CL_BANK_F
140220009836,BLOPIT22922,CL_BANK_F
140220009886,BLOPIT22923,CL_BANK_F
140220009936,BLOPIT22924,CL_BANK_F
140220009986,BLOPIT22925,CL_BANK_F
140220010036,BLOPIT22926,CL_BANK_F
140220010086,BLOPIT22927,CL_BANK_F
140220010136,BLOPIT22928,CL_BANK_F
140220010186,BLOPIT22929,CL_BANK_F
140220010236,BLOPIT22930,CL_BANK_F
140220010286,BLOPIT22931,CL_BANK_F
140220010336,BLOPIT22932,CL_BANK_F
140220010386,BLOPIT22933,CL_BANK_F
